size,array_type,algorithm,threshold,time
500,random,standard,0,220
500,reversed,standard,0,185
500,nearly_sorted,standard,0,195
500,random,hybrid,5,133
500,reversed,hybrid,5,105
500,nearly_sorted,hybrid,5,109
500,random,hybrid,10,113
500,reversed,hybrid,10,83
500,nearly_sorted,hybrid,10,76
500,random,hybrid,20,97
500,reversed,hybrid,20,115
500,nearly_sorted,hybrid,20,78
500,random,hybrid,30,102
500,reversed,hybrid,30,119
500,nearly_sorted,hybrid,30,64
500,random,hybrid,50,103
500,reversed,hybrid,50,120
500,nearly_sorted,hybrid,50,59
600,random,standard,0,277
600,reversed,standard,0,231
600,nearly_sorted,standard,0,260
600,random,hybrid,5,189
600,reversed,hybrid,5,132
600,nearly_sorted,hybrid,5,133
600,random,hybrid,10,146
600,reversed,hybrid,10,123
600,nearly_sorted,hybrid,10,109
600,random,hybrid,20,130
600,reversed,hybrid,20,121
600,nearly_sorted,hybrid,20,82
600,random,hybrid,30,125
600,reversed,hybrid,30,122
600,nearly_sorted,hybrid,30,75
600,random,hybrid,50,128
600,reversed,hybrid,50,179
600,nearly_sorted,hybrid,50,84
700,random,standard,0,374
700,reversed,standard,0,265
700,nearly_sorted,standard,0,284
700,random,hybrid,5,182
700,reversed,hybrid,5,148
700,nearly_sorted,hybrid,5,141
700,random,hybrid,10,158
700,reversed,hybrid,10,135
700,nearly_sorted,hybrid,10,116
700,random,hybrid,20,158
700,reversed,hybrid,20,138
700,nearly_sorted,hybrid,20,102
700,random,hybrid,30,145
700,reversed,hybrid,30,152
700,nearly_sorted,hybrid,30,103
700,random,hybrid,50,173
700,reversed,hybrid,50,221
700,nearly_sorted,hybrid,50,89
800,random,standard,0,388
800,reversed,standard,0,325
800,nearly_sorted,standard,0,336
800,random,hybrid,5,221
800,reversed,hybrid,5,183
800,nearly_sorted,hybrid,5,171
800,random,hybrid,10,206
800,reversed,hybrid,10,160
800,nearly_sorted,hybrid,10,157
800,random,hybrid,20,184
800,reversed,hybrid,20,160
800,nearly_sorted,hybrid,20,132
800,random,hybrid,30,180
800,reversed,hybrid,30,179
800,nearly_sorted,hybrid,30,108
800,random,hybrid,50,193
800,reversed,hybrid,50,251
800,nearly_sorted,hybrid,50,100
900,random,standard,0,409
900,reversed,standard,0,309
900,nearly_sorted,standard,0,319
900,random,hybrid,5,266
900,reversed,hybrid,5,179
900,nearly_sorted,hybrid,5,185
900,random,hybrid,10,205
900,reversed,hybrid,10,161
900,nearly_sorted,hybrid,10,151
900,random,hybrid,20,191
900,reversed,hybrid,20,159
900,nearly_sorted,hybrid,20,140
900,random,hybrid,30,198
900,reversed,hybrid,30,214
900,nearly_sorted,hybrid,30,121
900,random,hybrid,50,190
900,reversed,hybrid,50,212
900,nearly_sorted,hybrid,50,121
1000,random,standard,0,446
1000,reversed,standard,0,368
1000,nearly_sorted,standard,0,392
1000,random,hybrid,5,292
1000,reversed,hybrid,5,223
1000,nearly_sorted,hybrid,5,233
1000,random,hybrid,10,249
1000,reversed,hybrid,10,187
1000,nearly_sorted,hybrid,10,205
1000,random,hybrid,20,224
1000,reversed,hybrid,20,203
1000,nearly_sorted,hybrid,20,155
1000,random,hybrid,30,225
1000,reversed,hybrid,30,234
1000,nearly_sorted,hybrid,30,140
1000,random,hybrid,50,226
1000,reversed,hybrid,50,243
1000,nearly_sorted,hybrid,50,135
1100,random,standard,0,468
1100,reversed,standard,0,373
1100,nearly_sorted,standard,0,439
1100,random,hybrid,5,330
1100,reversed,hybrid,5,239
1100,nearly_sorted,hybrid,5,249
1100,random,hybrid,10,268
1100,reversed,hybrid,10,222
1100,nearly_sorted,hybrid,10,206
1100,random,hybrid,20,245
1100,reversed,hybrid,20,207
1100,nearly_sorted,hybrid,20,158
1100,random,hybrid,30,235
1100,reversed,hybrid,30,230
1100,nearly_sorted,hybrid,30,172
1100,random,hybrid,50,254
1100,reversed,hybrid,50,291
1100,nearly_sorted,hybrid,50,154
1200,random,standard,0,556
1200,reversed,standard,0,491
1200,nearly_sorted,standard,0,485
1200,random,hybrid,5,313
1200,reversed,hybrid,5,261
1200,nearly_sorted,hybrid,5,258
1200,random,hybrid,10,284
1200,reversed,hybrid,10,240
1200,nearly_sorted,hybrid,10,267
1200,random,hybrid,20,271
1200,reversed,hybrid,20,252
1200,nearly_sorted,hybrid,20,181
1200,random,hybrid,30,271
1200,reversed,hybrid,30,226
1200,nearly_sorted,hybrid,30,172
1200,random,hybrid,50,258
1200,reversed,hybrid,50,287
1200,nearly_sorted,hybrid,50,149
1300,random,standard,0,545
1300,reversed,standard,0,427
1300,nearly_sorted,standard,0,522
1300,random,hybrid,5,322
1300,reversed,hybrid,5,243
1300,nearly_sorted,hybrid,5,250
1300,random,hybrid,10,297
1300,reversed,hybrid,10,264
1300,nearly_sorted,hybrid,10,240
1300,random,hybrid,20,286
1300,reversed,hybrid,20,252
1300,nearly_sorted,hybrid,20,181
1300,random,hybrid,30,273
1300,reversed,hybrid,30,266
1300,nearly_sorted,hybrid,30,197
1300,random,hybrid,50,299
1300,reversed,hybrid,50,385
1300,nearly_sorted,hybrid,50,177
1400,random,standard,0,660
1400,reversed,standard,0,554
1400,nearly_sorted,standard,0,523
1400,random,hybrid,5,388
1400,reversed,hybrid,5,321
1400,nearly_sorted,hybrid,5,302
1400,random,hybrid,10,336
1400,reversed,hybrid,10,271
1400,nearly_sorted,hybrid,10,230
1400,random,hybrid,20,327
1400,reversed,hybrid,20,275
1400,nearly_sorted,hybrid,20,226
1400,random,hybrid,30,313
1400,reversed,hybrid,30,319
1400,nearly_sorted,hybrid,30,199
1400,random,hybrid,50,320
1400,reversed,hybrid,50,404
1400,nearly_sorted,hybrid,50,185
1500,random,standard,0,687
1500,reversed,standard,0,577
1500,nearly_sorted,standard,0,577
1500,random,hybrid,5,382
1500,reversed,hybrid,5,324
1500,nearly_sorted,hybrid,5,320
1500,random,hybrid,10,392
1500,reversed,hybrid,10,310
1500,nearly_sorted,hybrid,10,310
1500,random,hybrid,20,372
1500,reversed,hybrid,20,284
1500,nearly_sorted,hybrid,20,242
1500,random,hybrid,30,362
1500,reversed,hybrid,30,353
1500,nearly_sorted,hybrid,30,235
1500,random,hybrid,50,400
1500,reversed,hybrid,50,485
1500,nearly_sorted,hybrid,50,211
1600,random,standard,0,759
1600,reversed,standard,0,622
1600,nearly_sorted,standard,0,548
1600,random,hybrid,5,416
1600,reversed,hybrid,5,357
1600,nearly_sorted,hybrid,5,360
1600,random,hybrid,10,424
1600,reversed,hybrid,10,301
1600,nearly_sorted,hybrid,10,331
1600,random,hybrid,20,366
1600,reversed,hybrid,20,305
1600,nearly_sorted,hybrid,20,283
1600,random,hybrid,30,382
1600,reversed,hybrid,30,382
1600,nearly_sorted,hybrid,30,242
1600,random,hybrid,50,423
1600,reversed,hybrid,50,470
1600,nearly_sorted,hybrid,50,204
1700,random,standard,0,704
1700,reversed,standard,0,575
1700,nearly_sorted,standard,0,610
1700,random,hybrid,5,503
1700,reversed,hybrid,5,389
1700,nearly_sorted,hybrid,5,363
1700,random,hybrid,10,442
1700,reversed,hybrid,10,362
1700,nearly_sorted,hybrid,10,331
1700,random,hybrid,20,391
1700,reversed,hybrid,20,349
1700,nearly_sorted,hybrid,20,302
1700,random,hybrid,30,394
1700,reversed,hybrid,30,365
1700,nearly_sorted,hybrid,30,246
1700,random,hybrid,50,380
1700,reversed,hybrid,50,375
1700,nearly_sorted,hybrid,50,242
1800,random,standard,0,706
1800,reversed,standard,0,605
1800,nearly_sorted,standard,0,619
1800,random,hybrid,5,499
1800,reversed,hybrid,5,368
1800,nearly_sorted,hybrid,5,385
1800,random,hybrid,10,432
1800,reversed,hybrid,10,327
